                nm	               Cts	
      375.98999023	     1079.66101074	
      376.01998901	     1061.96215820	
      376.04998779	     1079.51660156	
      376.07998657	     1074.80883789	
      376.10998535	      915.93682861	
      376.13998413	      972.71679688	
      376.16998291	     1020.61688232	
      376.19998169	      968.70709229	
      376.22998047	      905.22882080	
      376.25997925	      942.00524902	
      376.28997803	      962.11926270	
      376.31997681	      909.04229736	
      376.34997559	      914.49389648	
      376.38000488	      905.19042969	
      376.41000366	      939.60742188	
      376.44000244	     1015.06445313	
      376.47000122	      945.24145508	
      376.50000000	      967.88952637	
      376.52999878	      956.96960449	
      376.55999756	      809.02709961	
      376.58999634	      868.14300537	
      376.61999512	      841.37054443	
      376.64999390	      905.65295410	
      376.67999268	     1085.08642578	
      376.70999146	      967.31365967	
      376.73999023	      902.16882324	
      376.76998901	      957.47729492	
      376.79998779	      900.42077637	
      376.82998657	      860.76013184	
      376.85998535	     1058.64599609	
      376.88998413	     1079.94726563	
      376.91998291	      948.28692627	
      376.94998169	      923.90930176	
      376.97998047	      878.82263184	
      377.00997925	      927.88604736	
      377.03997803	     1091.06274414	
      377.06997681	     1138.01184082	
      377.09997559	      972.42559814	
      377.13000488	      931.92358398	
      377.16000366	      966.01318359	
      377.19000244	     1054.08410645	
      377.22000122	     1080.78161621	
      377.25000000	     1091.40246582	
      377.27999878	     1016.47009277	
      377.30999756	      907.38757324	
      377.33999634	      947.23522949	
      377.36999512	      979.99029541	
      377.39999390	      990.27856445	
      377.42999268	      958.63885498	
      377.45999146	      996.02941895	
      377.48999023	      979.59210205	
      377.51998901	      929.27221680	
      377.54998779	      924.70361328	
      377.57998657	      901.21734619	
      377.60998535	      866.61993408	
      377.63998413	      992.21118164	
      377.66998291	     1114.80541992	
      377.69998169	      855.41259766	
      377.72998047	      808.68902588	
      377.75997925	      944.05505371	
      377.78997803	      985.54089355	
      377.81997681	      979.32354736	
      377.84997559	     1051.52062988	
      377.88000488	      878.77276611	
      377.91000366	      880.48999023	
      377.94000244	      986.77709961	
      377.97000122	      900.79125977	
      378.00000000	      889.68249512	
      378.02999878	      967.04370117	
      378.05999756	      913.60028076	
      378.08999634	     1016.92761230	
      378.11999512	      980.99505615	
      378.14999390	      868.23339844	
      378.17999268	      867.79699707	
      378.20999146	     1014.23541260	
      378.23999023	     1069.17065430	
      378.26998901	      989.35626221	
      378.29998779	      976.19067383	
