                nm	               Cts	
      550.00000000	    43934.02734375	
      550.02801514	    43939.51562500	
      550.05603027	    43964.95312500	
      550.08398438	    43958.53906250	
      550.11199951	    43901.78906250	
      550.14001465	    43860.18750000	
      550.16802979	    43877.56250000	
      550.19598389	    43887.59765625	
      550.22399902	    43847.81640625	
      550.25201416	    43801.62890625	
      550.28002930	    43868.45703125	
      550.30798340	    43886.21484375	
      550.33599854	    43959.51953125	
      550.36401367	    43910.20703125	
      550.39202881	    43818.50000000	
      550.41998291	    43860.71484375	
      550.44799805	    43836.35156250	
      550.47601318	    43805.73828125	
      550.50402832	    43698.57421875	
      550.53198242	    43778.38281250	
      550.55999756	    43753.96484375	
      550.58801270	    43835.53515625	
      550.61602783	    43742.39062500	
      550.64398193	    43744.68750000	
      550.67199707	    43800.90625000	
      550.70001221	    43810.01562500	
      550.72802734	    43818.34375000	
      550.75598145	    43811.26171875	
      550.78399658	    43790.42187500	
      550.81201172	    43777.27734375	
      550.84002686	    43748.11718750	
      550.86798096	    43690.52343750	
      550.89599609	    43628.73437500	
      550.92401123	    43577.09765625	
      550.95202637	    43544.13671875	
      550.97998047	    43547.98437500	
      551.00799561	    43568.10546875	
      551.03601074	    43569.20312500	
      551.06402588	    43552.87890625	
      551.09197998	    43529.78515625	
      551.11999512	    43555.16796875	
      551.14801025	    43568.78515625	
      551.17602539	    43520.07812500	
      551.20397949	    43508.65234375	
      551.23199463	    43535.41406250	
      551.26000977	    43486.72265625	
      551.28802490	    43493.04687500	
      551.31597900	    43544.50390625	
      551.34399414	    43449.58984375	
      551.37200928	    43403.58984375	
      551.40002441	    43537.81250000	
      551.42797852	    43473.84765625	
      551.45599365	    43476.89843750	
      551.48400879	    43467.18359375	
      551.51202393	    43423.80859375	
      551.53997803	    43443.55859375	
      551.56799316	    43514.42187500	
      551.59600830	    43499.33203125	
      551.62402344	    43433.14062500	
      551.65197754	    43424.51953125	
      551.67999268	    43451.14453125	
      551.70800781	    43439.99609375	
      551.73602295	    43408.08593750	
      551.76397705	    43395.10546875	
      551.79199219	    43368.04296875	
      551.82000732	    43388.18359375	
      551.84802246	    43476.18359375	
      551.87597656	    43548.93750000	
      551.90399170	    43539.44140625	
      551.93200684	    43499.60156250	
      551.96002197	    43423.44140625	
      551.98797607	    43374.91406250	
      552.01599121	    43423.37109375	
      552.04400635	    43420.20703125	
      552.07202148	    43512.33203125	
      552.09997559	    43509.82421875	
      552.12799072	    43483.93750000	
      552.15600586	    43483.35156250	
      552.18402100	    43510.95312500	
      552.21197510	    43454.85546875	
      552.23999023	    43460.13671875	
      552.26800537	    43399.36328125	
      552.29602051	    43442.01953125	
      552.32397461	    43437.86328125	
      552.35198975	    43446.85937500	
      552.38000488	    43531.23437500	
      552.40802002	    43559.64453125	
      552.43597412	    43557.16796875	
      552.46398926	    43657.30468750	
      552.49200439	    43718.93750000	
      552.52001953	    43620.03125000	
      552.54797363	    43490.73046875	
      552.57598877	    43403.00390625	
      552.60400391	    43364.64062500	
      552.63201904	    43325.53125000	
      552.65997314	    43307.75000000	
      552.68798828	    43343.12500000	
      552.71600342	    43351.77343750	
      552.74401855	    43289.92578125	
      552.77197266	    43309.63281250	
      552.79998779	    43330.68359375	
      552.82800293	    43337.04687500	
      552.85601807	    43276.76953125	
      552.88397217	    43245.31640625	
      552.91198730	    43328.19140625	
      552.94000244	    43349.39062500	
      552.96801758	    43268.95312500	
      552.99597168	    43248.50000000	
      553.02398682	    43302.75781250	
      553.05200195	    43330.44921875	
      553.08001709	    43347.65625000	
      553.10797119	    43328.18359375	
      553.13598633	    43313.04296875	
      553.16400146	    43345.10546875	
      553.19201660	    43273.54296875	
      553.21997070	    43220.55859375	
      553.24798584	    43205.09765625	
      553.27600098	    43218.91015625	
      553.30401611	    43237.18359375	
      553.33197021	    43224.08984375	
      553.35998535	    43248.17187500	
      553.38800049	    43255.49218750	
      553.41601563	    43200.76953125	
      553.44396973	    43117.99609375	
      553.47198486	    43202.76562500	
      553.50000000	    43219.88671875	
      553.52801514	    43294.57812500	
      553.55603027	    43336.75390625	
      553.58398438	    43327.95312500	
      553.61199951	    43326.54687500	
      553.64001465	    43356.87109375	
      553.66802979	    43324.71093750	
      553.69598389	    43294.54687500	
      553.72399902	    43241.68750000	
      553.75201416	    43313.33203125	
      553.78002930	    43369.17187500	
      553.80798340	    43378.94140625	
      553.83599854	    43383.43359375	
      553.86401367	    43381.36718750	
      553.89202881	    43372.30078125	
      553.91998291	    43352.30468750	
      553.94799805	    43340.65234375	
      553.97601318	    43330.94140625	
      554.00402832	    43313.56640625	
      554.03198242	    43330.29296875	
      554.05999756	    43379.23437500	
      554.08801270	    43406.74609375	
      554.11602783	    43407.67968750	
      554.14398193	    43440.76562500	
      554.17199707	    43488.36718750	
      554.20001221	    43454.96875000	
      554.22802734	    43376.07812500	
      554.25598145	    43339.66015625	
      554.28399658	    43301.20703125	
      554.31201172	    43186.24218750	
      554.34002686	    43170.35546875	
      554.36798096	    43151.30859375	
      554.39599609	    43171.29296875	
      554.42401123	    43224.72656250	
      554.45202637	    43236.19140625	
      554.47998047	    43352.14453125	
      554.50799561	    43195.20312500	
      554.53601074	    43313.49218750	
      554.56402588	    43247.88671875	
      554.59197998	    43224.27734375	
      554.61999512	    43276.78125000	
      554.64801025	    43237.28906250	
      554.67602539	    43247.88671875	
      554.70397949	    43282.81640625	
      554.73199463	    43263.23046875	
      554.76000977	    43245.00390625	
      554.78802490	    43271.68750000	
      554.81597900	    43252.37500000	
      554.84399414	    43223.12500000	
      554.87200928	    43246.09765625	
      554.90002441	    43273.06250000	
      554.92797852	    43277.42968750	
      554.95599365	    43267.04687500	
      554.98400879	    43227.79296875	
      555.01202393	    43201.19140625	
      555.03997803	    43240.78515625	
      555.06799316	    43271.05468750	
      555.09600830	    43229.66796875	
      555.12402344	    43199.28515625	
      555.15197754	    43208.93750000	
      555.17999268	    43248.44140625	
      555.20800781	    43278.55859375	
      555.23602295	    43215.69140625	
      555.26397705	    43306.96875000	
      555.29199219	    43252.68750000	
      555.32000732	    43276.52343750	
      555.34802246	    43313.60937500	
      555.37597656	    43271.72656250	
      555.40399170	    43266.89062500	
      555.43200684	    43290.47656250	
      555.46002197	    43308.17968750	
      555.48797607	    43287.26171875	
      555.51599121	    43299.94921875	
      555.54400635	    43318.55078125	
      555.57202148	    43291.21484375	
      555.59997559	    43273.98437500	
      555.62799072	    43362.08203125	
      555.65600586	    43399.10156250	
      555.68402100	    43378.41406250	
      555.71197510	    43355.71875000	
      555.73999023	    43360.92968750	
      555.76800537	    43395.74218750	
      555.79602051	    43389.19921875	
      555.82397461	    43396.87500000	
      555.85198975	    43452.13281250	
      555.88000488	    43488.58593750	
      555.90802002	    43418.56640625	
      555.93597412	    43350.05078125	
      555.96398926	    43344.31250000	
      555.99200439	    43376.39843750	
      556.02001953	    43272.31640625	
      556.04797363	    43210.45703125	
      556.07598877	    43240.57421875	
      556.10400391	    43242.36328125	
      556.13201904	    43286.48828125	
      556.15997314	    43225.89453125	
      556.18798828	    43160.32031250	
      556.21600342	    43207.41015625	
      556.24401855	    43207.37500000	
      556.27197266	    43225.29687500	
      556.29998779	    43262.93750000	
      556.32800293	    43277.45703125	
      556.35601807	    43278.55078125	
      556.38397217	    43194.91796875	
      556.41198730	    43202.80468750	
      556.44000244	    43268.79296875	
      556.46801758	    43278.62890625	
      556.49597168	    43234.47265625	
      556.52398682	    43190.17968750	
      556.55200195	    43184.90234375	
      556.58001709	    43214.65625000	
      556.60797119	    43239.62109375	
      556.63598633	    43238.34765625	
      556.66400146	    43232.12109375	
      556.69201660	    43217.52734375	
      556.71997070	    43182.76562500	
      556.74798584	    43106.98828125	
      556.77600098	    43125.03515625	
      556.80401611	    43150.45312500	
      556.83197021	    43220.25781250	
      556.85998535	    43162.33984375	
      556.88800049	    43242.52343750	
      556.91601563	    43257.27734375	
      556.94396973	    43272.25000000	
      556.97198486	    43276.64062500	
      557.00000000	    43220.77343750	
      557.02801514	    43210.04687500	
      557.05603027	    43199.90234375	
      557.08398438	    43209.66015625	
      557.11199951	    43212.46875000	
      557.14001465	    43262.93359375	
      557.16802979	    43343.82031250	
      557.19598389	    43342.93750000	
      557.22399902	    43289.60937500	
      557.25201416	    43273.99218750	
      557.28002930	    43298.71484375	
      557.30798340	    43324.41796875	
      557.33599854	    43349.42968750	
      557.36401367	    43355.57031250	
      557.39202881	    43303.60546875	
      557.41998291	    43274.94140625	
      557.44799805	    43340.29296875	
      557.47601318	    43375.35546875	
      557.50402832	    43339.05859375	
      557.53198242	    43300.18359375	
      557.55999756	    43382.05078125	
      557.58801270	    43495.36328125	
      557.61602783	    43536.06250000	
      557.64398193	    43416.83593750	
      557.67199707	    43218.01953125	
      557.70001221	    43206.38671875	
      557.72802734	    43117.50000000	
      557.75598145	    43233.91015625	
      557.78399658	    43206.77343750	
      557.81201172	    43241.69921875	
      557.84002686	    43209.38281250	
      557.86798096	    43186.62890625	
      557.89599609	    43165.10156250	
      557.92401123	    43166.04687500	
      557.95202637	    43162.35937500	
      557.97998047	    43162.49218750	
      558.00799561	    43191.26953125	
      558.03601074	    43199.94531250	
      558.06402588	    43194.33593750	
      558.09197998	    43191.82031250	
      558.11999512	    43209.65625000	
      558.14801025	    43238.87890625	
      558.17602539	    43256.96093750	
      558.20397949	    43238.69531250	
      558.23199463	    43196.26562500	
      558.26000977	    43182.49218750	
      558.28802490	    43176.91796875	
      558.31597900	    43180.74218750	
      558.34399414	    43207.02343750	
      558.37200928	    43219.83203125	
      558.40002441	    43196.09375000	
      558.42797852	    43164.80859375	
      558.45599365	    43210.13281250	
      558.48400879	    43238.80468750	
      558.51202393	    43173.88671875	
      558.53997803	    43179.82031250	
      558.56799316	    43143.65234375	
      558.59600830	    43156.05468750	
      558.62402344	    43163.94531250	
      558.65197754	    43197.52343750	
      558.67999268	    43263.91796875	
      558.70800781	    43237.76171875	
      558.73602295	    43235.16796875	
      558.76397705	    43269.26562500	
      558.79199219	    43293.85156250	
      558.82000732	    43297.58203125	
      558.84802246	    43319.66015625	
      558.87597656	    43313.62890625	
      558.90399170	    43282.84765625	
      558.93200684	    43296.66406250	
      558.96002197	    43295.64843750	
      558.98797607	    43287.33984375	
      559.01599121	    43313.85156250	
      559.04400635	    43296.41796875	
      559.07202148	    43297.21484375	
      559.09997559	    43373.03125000	
      559.12799072	    43391.10546875	
      559.15600586	    43390.54296875	
      559.18402100	    43430.89843750	
      559.21197510	    43348.56640625	
      559.23999023	    43403.08593750	
      559.26800537	    43603.94140625	
      559.29602051	    43485.45312500	
      559.32397461	    43402.93750000	
      559.35198975	    43294.75390625	
      559.38000488	    43175.61328125	
      559.40802002	    43163.20312500	
      559.43597412	    43213.95703125	
      559.46398926	    43217.42968750	
      559.49200439	    43264.60156250	
      559.52001953	    43270.64062500	
      559.54797363	    43210.07812500	
      559.57598877	    43178.03906250	
      559.60400391	    43181.87890625	
      559.63201904	    43234.37890625	
      559.65997314	    43215.92187500	
      559.68798828	    43162.12890625	
      559.71600342	    43159.25390625	
      559.74401855	    43177.67578125	
      559.77197266	    43168.71093750	
      559.79998779	    43149.53125000	
      559.82800293	    43140.72265625	
      559.85601807	    43136.83593750	
      559.88397217	    43179.95312500	
      559.91198730	    43270.10937500	
      559.94000244	    43256.90234375	
      559.96801758	    43159.72656250	
      559.99597168	    43169.54296875	
      560.02398682	    43135.75781250	
      560.05200195	    43177.80468750	
      560.08001709	    43115.83593750	
      560.10797119	    43201.93750000	
      560.13598633	    43209.56640625	
      560.16400146	    43098.14062500	
      560.19201660	    43158.01953125	
      560.21997070	    43002.78125000	
      560.24798584	    43048.87500000	
      560.27600098	    43007.87500000	
      560.30401611	    43129.03125000	
      560.33197021	    43174.64453125	
      560.35998535	    43197.62890625	
      560.38800049	    43193.14453125	
      560.41601563	    43253.39843750	
      560.44403076	    43290.64453125	
      560.47198486	    43264.02734375	
      560.50000000	    43255.07421875	
      560.52801514	    43281.23437500	
      560.55603027	    43289.36328125	
      560.58398438	    43250.57421875	
      560.61199951	    43203.23046875	
      560.64001465	    43229.45312500	
      560.66802979	    43288.65625000	
      560.69598389	    43274.23046875	
      560.72399902	    43229.98437500	
      560.75201416	    43171.13671875	
      560.78002930	    43147.68750000	
      560.80798340	    43253.30468750	
      560.83599854	    43319.10156250	
      560.86401367	    43279.36328125	
      560.89202881	    43320.40625000	
      560.91998291	    43386.23437500	
      560.94799805	    43328.55468750	
      560.97601318	    43305.83593750	
      561.00402832	    43256.00781250	
      561.03198242	    43173.84765625	
      561.05999756	    43098.58593750	
      561.08801270	    43154.57812500	
      561.11602783	    43138.10546875	
      561.14398193	    43125.76562500	
      561.17199707	    43103.99218750	
      561.20001221	    43063.10937500	
      561.22802734	    43141.92968750	
      561.25598145	    43153.54296875	
      561.28399658	    43145.60156250	
      561.31201172	    43142.98046875	
      561.34002686	    43169.78515625	
      561.36798096	    43158.44921875	
      561.39599609	    43144.98046875	
      561.42401123	    43135.50000000	
      561.45202637	    43122.53515625	
      561.47998047	    43110.75000000	
      561.50799561	    43050.56250000	
      561.53601074	    43067.67187500	
      561.56402588	    43057.19531250	
      561.59197998	    43145.04687500	
      561.61999512	    43153.80859375	
      561.64801025	    43098.86328125	
      561.67602539	    43044.89062500	
      561.70397949	    43070.26953125	
      561.73199463	    43063.08203125	
      561.76000977	    43126.84765625	
      561.78802490	    43122.16015625	
      561.81597900	    43145.24218750	
      561.84399414	    43103.62500000	
      561.87200928	    43077.36328125	
      561.90002441	    42994.29687500	
      561.92797852	    42976.71484375	
      561.95599365	    43045.22265625	
      561.98400879	    43179.16796875	
      562.01202393	    43243.83593750	
      562.03997803	    43182.57421875	
      562.06799316	    43152.22656250	
      562.09600830	    43168.73046875	
      562.12402344	    43160.30078125	
      562.15197754	    43116.73046875	
      562.17999268	    43088.96875000	
      562.20800781	    43124.39062500	
      562.23602295	    43153.12500000	
      562.26397705	    43133.19140625	
      562.29199219	    43152.45312500	
      562.32000732	    43177.36718750	
      562.34802246	    43129.33593750	
      562.37597656	    43130.02734375	
      562.40399170	    43190.80859375	
      562.43200684	    43194.18750000	
      562.46002197	    43216.05468750	
      562.48797607	    43288.49218750	
      562.51599121	    43267.61328125	
      562.54400635	    43263.25781250	
      562.57202148	    43324.01953125	
      562.59997559	    43268.64453125	
      562.62799072	    43368.60937500	
      562.65600586	    43313.71093750	
      562.68402100	    43250.54296875	
      562.71197510	    43275.54296875	
      562.73999023	    43186.47656250	
      562.76800537	    43162.17187500	
      562.79602051	    43147.99609375	
      562.82397461	    43108.80468750	
      562.85198975	    43085.08984375	
      562.88000488	    43128.27343750	
      562.90802002	    43107.86328125	
      562.93597412	    43103.56640625	
      562.96398926	    43184.83984375	
      562.99200439	    43209.23046875	
      563.02001953	    43144.50000000	
      563.04797363	    43054.89453125	
      563.07598877	    43025.09375000	
      563.10400391	    43082.81250000	
      563.13201904	    43109.19140625	
      563.15997314	    43122.78515625	
      563.18798828	    43148.58593750	
      563.21600342	    43163.46093750	
      563.24401855	    43168.00781250	
      563.27197266	    43139.97656250	
      563.29998779	    43113.62890625	
      563.32800293	    43140.79687500	
      563.35601807	    43155.45312500	
      563.38397217	    43138.35937500	
      563.41198730	    43158.80859375	
      563.44000244	    43178.33203125	
      563.46801758	    43167.03906250	
      563.49597168	    43125.74609375	
      563.52398682	    43036.06250000	
      563.55200195	    43020.78906250	
      563.58001709	    43073.13281250	
      563.60797119	    43094.94921875	
      563.63598633	    43192.47265625	
      563.66400146	    43207.25781250	
      563.69201660	    43173.30859375	
      563.71997070	    43114.35546875	
      563.74798584	    43155.25000000	
      563.77600098	    43212.90234375	
      563.80401611	    43235.81250000	
      563.83197021	    43206.91015625	
      563.85998535	    43122.68359375	
      563.88800049	    43118.00781250	
      563.91601563	    43180.66796875	
      563.94403076	    43159.64453125	
      563.97198486	    43173.51953125	
      564.00000000	    43286.03906250	
